symbol,side,entry,exit,qty,pnl_gross,fees,pnl_net,entry_time,exit_time,reason
LTC_USDT,LONG,64.02,63.11678571428571,0.3280224929709466,-0.2962746016869724,0.0147,-0.3109746016869724,2022-05-29 12:00:00,2022-05-29 18:00:00,SL_HIT
LTC_USDT,LONG,65.13,65.816,0.32243205895900506,0.22118839244587973,0.0147,0.20648839244587974,2022-05-30 01:00:00,2022-05-30 03:00:00,SL_HIT
HBAR_USDT,LONG,0.09192,0.093464,228.45953002610966,0.35274151436031415,0.0147,0.33804151436031415,2022-05-30 01:00:00,2022-05-30 03:00:00,SL_HIT
DOGE_USDT,LONG,0.08379,0.084252,250.62656641604008,0.11578947368420806,0.0147,0.10108947368420805,2022-05-30 01:00:00,2022-05-30 04:00:00,SL_HIT
HBAR_USDT,LONG,0.09693,0.097446,216.6511915815537,0.11179201485608226,0.0147,0.09709201485608225,2022-05-30 20:00:00,2022-05-31 00:00:00,SL_HIT
LTC_USDT,LONG,68.07,68.91,0.3085059497576025,0.2591449977963871,0.0147,0.24444499779638712,2022-05-30 20:00:00,2022-05-31 01:00:00,SL_HIT
LTC_USDT,LONG,69.75,67.935,0.3010752688172043,-0.5464516129032252,0.0147,-0.5611516129032252,2022-06-01 00:00:00,2022-06-01 07:00:00,SL_HIT
HBAR_USDT,SHORT,0.09367,0.09629607142857144,224.1913099177965,-0.5887423935091294,0.0147,-0.6034423935091294,2022-05-31 13:00:00,2022-06-01 08:00:00,SL_HIT
DOGE_USDT,LONG,0.08772,0.08618250000000001,239.39808481532145,-0.36807455540355605,0.0147,-0.38277455540355604,2022-06-01 10:00:00,2022-06-01 14:00:00,SL_HIT
DOGE_USDT,SHORT,0.08505,0.081138,246.91358024691357,0.9659259259259256,0.0147,0.9512259259259256,2022-06-01 14:00:00,2022-06-02 06:00:00,SL_HIT
HBAR_USDT,LONG,0.09182,0.09201999999999999,228.7083424090612,0.045741668481810376,0.0147,0.031041668481810378,2022-06-02 21:00:00,2022-06-03 00:00:00,SL_HIT
ADA_USDT,LONG,0.5877,0.60026,35.732516590096985,0.44880040837161866,0.014699999999999998,0.4341004083716187,2022-06-02 15:00:00,2022-06-03 02:00:00,SL_HIT
LTC_USDT,LONG,64.25,64.455,0.32684824902723736,0.0670038910505831,0.0147,0.052303891050583105,2022-06-02 22:00:00,2022-06-03 03:00:00,SL_HIT
DOGE_USDT,LONG,0.08271,0.08146714285714286,253.8991657598839,-0.3155603917301414,0.0147,-0.3302603917301414,2022-06-02 22:00:00,2022-06-03 09:00:00,SL_HIT
ADA_USDT,SHORT,0.5598,0.5515599999999999,37.51339764201501,0.3091103965702046,0.0147,0.2944103965702046,2022-06-03 10:00:00,2022-06-03 13:00:00,SL_HIT
LTC_USDT,SHORT,62.2,62.055,0.337620578778135,0.04895498392283063,0.0147,0.034254983922830634,2022-06-03 10:00:00,2022-06-03 13:00:00,SL_HIT
HBAR_USDT,SHORT,0.08793,0.0896967857142857,238.82633913340158,-0.4219549641760474,0.0147,-0.4366549641760474,2022-06-03 10:00:00,2022-06-03 21:00:00,SL_HIT
LTC_USDT,LONG,63.15,63.576,0.332541567695962,0.14166270783848045,0.0147,0.12696270783848046,2022-06-04 14:00:00,2022-06-05 00:00:00,SL_HIT
HBAR_USDT,LONG,0.0921,0.094292,228.01302931596092,0.49980456026058623,0.0147,0.48510456026058624,2022-06-05 00:00:00,2022-06-05 06:00:00,SL_HIT
LTC_USDT,LONG,64.2,65.0,0.32710280373831774,0.26168224299065324,0.0147,0.24698224299065324,2022-06-06 00:00:00,2022-06-06 02:00:00,SL_HIT
DOGE_USDT,LONG,0.08291,0.08411,253.28669641780243,0.3039440357013646,0.0147,0.2892440357013646,2022-06-06 01:00:00,2022-06-06 11:00:00,SL_HIT
HBAR_USDT,SHORT,0.08848,0.088018,237.34177215189874,0.10965189873417819,0.0147,0.09495189873417818,2022-06-08 03:00:00,2022-06-08 21:00:00,SL_HIT
LTC_USDT,SHORT,60.18,59.676,0.3489531405782652,0.17587238285144488,0.0147,0.1611723828514449,2022-06-09 19:00:00,2022-06-10 02:00:00,SL_HIT
HBAR_USDT,SHORT,0.08653,0.08521,242.69039639431412,0.32035132324049503,0.0147,0.30565132324049504,2022-06-09 23:00:00,2022-06-10 02:00:00,SL_HIT
ADA_USDT,SHORT,0.6216,0.60984,33.78378378378378,0.397297297297297,0.0147,0.382597297297297,2022-06-10 00:00:00,2022-06-10 10:00:00,SL_HIT
LTC_USDT,SHORT,55.27,54.51,0.37995295820517455,0.2887642482359346,0.0147,0.2740642482359346,2022-06-11 11:00:00,2022-06-11 13:00:00,SL_HIT
HBAR_USDT,SHORT,0.07855,0.077752,267.3456397199236,0.21334182049649722,0.0147,0.19864182049649723,2022-06-11 11:00:00,2022-06-11 13:00:00,SL_HIT
ADA_USDT,SHORT,0.5673,0.55538,37.017451084082495,0.4412480169222649,0.0147,0.4265480169222649,2022-06-11 12:00:00,2022-06-11 16:00:00,SL_HIT
DOGE_USDT,SHORT,0.06774,0.065516,310.00885739592565,0.6894596988485355,0.0147,0.6747596988485355,2022-06-12 01:00:00,2022-06-12 03:00:00,SL_HIT
