timestamp,y_long,y_short,weights
1970-01-01 00:28:02.524800,0,1,2.0
1970-01-01 00:28:02.528400,0,1,2.0
1970-01-01 00:28:02.532000,0,1,2.0
1970-01-01 00:28:02.535600,1,0,2.0
1970-01-01 00:28:02.676000,0,1,2.0
1970-01-01 00:28:02.762400,1,0,2.0
1970-01-01 00:28:02.769600,1,0,2.0
1970-01-01 00:28:02.859600,0,1,2.0
1970-01-01 00:28:02.863200,0,1,2.0
1970-01-01 00:28:02.866800,0,1,2.0
1970-01-01 00:28:02.870400,0,1,2.0
1970-01-01 00:28:02.874000,0,1,2.0
1970-01-01 00:28:02.877600,0,1,2.0
1970-01-01 00:28:02.881200,0,1,2.0
1970-01-01 00:28:02.884800,0,1,2.0
1970-01-01 00:28:02.888400,0,1,2.0
1970-01-01 00:28:02.892000,0,1,2.0
1970-01-01 00:28:02.895600,0,1,2.0
1970-01-01 00:28:02.899200,0,1,2.0
1970-01-01 00:28:03.032400,1,0,2.0
1970-01-01 00:28:03.093600,0,1,2.0
1970-01-01 00:28:03.097200,0,1,2.0
1970-01-01 00:28:03.100800,0,1,2.0
1970-01-01 00:28:03.104400,0,1,2.0
1970-01-01 00:28:03.108000,0,1,2.0
1970-01-01 00:28:03.115200,1,0,2.0
1970-01-01 00:28:03.126000,1,0,2.0
1970-01-01 00:28:03.129600,1,0,2.0
1970-01-01 00:28:03.133200,1,0,2.0
1970-01-01 00:28:03.136800,1,0,2.0
1970-01-01 00:28:03.140400,1,0,2.0
1970-01-01 00:28:03.144000,1,0,2.0
1970-01-01 00:28:03.183600,0,1,2.0
1970-01-01 00:28:03.187200,0,1,2.0
1970-01-01 00:28:03.190800,0,1,2.0
1970-01-01 00:28:03.194400,0,1,2.0
1970-01-01 00:28:03.198000,0,1,2.0
1970-01-01 00:28:03.288000,1,0,2.0
1970-01-01 00:28:03.306000,1,0,2.0
1970-01-01 00:28:03.309600,1,0,2.0
1970-01-01 00:28:03.316800,1,0,2.0
1970-01-01 00:28:03.324000,0,1,2.0
1970-01-01 00:28:03.345600,0,1,2.0
1970-01-01 00:28:03.356400,0,1,2.0
1970-01-01 00:28:03.360000,0,1,2.0
1970-01-01 00:28:03.363600,0,1,2.0
1970-01-01 00:28:03.367200,0,1,2.0
1970-01-01 00:28:03.370800,0,1,2.0
1970-01-01 00:28:03.374400,0,1,2.0
1970-01-01 00:28:03.486000,0,1,2.0
1970-01-01 00:28:03.489600,0,1,2.0
1970-01-01 00:28:03.493200,0,1,2.0
1970-01-01 00:28:03.496800,0,1,2.0
1970-01-01 00:28:03.500400,0,1,2.0
1970-01-01 00:28:03.504000,0,1,2.0
1970-01-01 00:28:03.543600,0,1,2.0
1970-01-01 00:28:03.547200,0,1,2.0
1970-01-01 00:28:03.550800,0,1,2.0
1970-01-01 00:28:03.554400,0,1,2.0
1970-01-01 00:28:03.558000,0,1,2.0
1970-01-01 00:28:03.561600,0,1,2.0
1970-01-01 00:28:03.698400,1,0,2.0
1970-01-01 00:28:03.702000,1,0,2.0
1970-01-01 00:28:03.705600,1,0,2.0
1970-01-01 00:28:03.709200,1,0,2.0
1970-01-01 00:28:03.712800,1,0,2.0
1970-01-01 00:28:03.720000,0,1,2.0
1970-01-01 00:28:03.723600,0,1,2.0
1970-01-01 00:28:03.727200,0,1,2.0
1970-01-01 00:28:03.730800,0,1,2.0
1970-01-01 00:28:03.734400,0,1,2.0
1970-01-01 00:28:03.738000,1,0,2.0
1970-01-01 00:28:03.802800,0,1,2.0
1970-01-01 00:28:03.806400,0,1,2.0
1970-01-01 00:28:03.810000,0,1,2.0
1970-01-01 00:28:03.824400,1,0,2.0
1970-01-01 00:28:03.828000,1,0,2.0
1970-01-01 00:28:03.831600,1,0,2.0
1970-01-01 00:28:04.069200,0,1,2.0
1970-01-01 00:28:04.072800,0,1,2.0
1970-01-01 00:28:04.076400,0,1,2.0
1970-01-01 00:28:04.090800,1,0,2.0
1970-01-01 00:28:04.108800,1,0,2.0
1970-01-01 00:28:04.177200,0,1,2.0
1970-01-01 00:28:04.180800,0,1,2.0
1970-01-01 00:28:04.184400,0,1,2.0
1970-01-01 00:28:04.188000,0,1,2.0
1970-01-01 00:28:04.249200,1,0,2.0
1970-01-01 00:28:04.263600,1,0,2.0
1970-01-01 00:28:04.267200,1,0,2.0
1970-01-01 00:28:04.299600,1,0,2.0
1970-01-01 00:28:04.303200,1,0,2.0
1970-01-01 00:28:04.306800,1,0,2.0
1970-01-01 00:28:04.310400,1,0,2.0
1970-01-01 00:28:04.321200,1,0,2.0
1970-01-01 00:28:04.324800,1,0,2.0
1970-01-01 00:28:04.328400,1,0,2.0
1970-01-01 00:28:04.332000,1,0,2.0
1970-01-01 00:28:04.335600,1,0,2.0
1970-01-01 00:28:04.407600,0,1,2.0
1970-01-01 00:28:04.411200,0,1,2.0
1970-01-01 00:28:04.414800,0,1,2.0
1970-01-01 00:28:04.418400,0,1,2.0
1970-01-01 00:28:04.422000,0,1,2.0
1970-01-01 00:28:04.425600,0,1,2.0
1970-01-01 00:28:04.429200,1,0,2.0
1970-01-01 00:28:04.432800,1,0,2.0
1970-01-01 00:28:04.436400,1,0,2.0
1970-01-01 00:28:04.440000,1,0,2.0
1970-01-01 00:28:04.580400,1,0,2.0
1970-01-01 00:28:04.584000,1,0,2.0
1970-01-01 00:28:04.587600,1,0,2.0
1970-01-01 00:28:04.591200,1,0,2.0
1970-01-01 00:28:04.594800,1,0,2.0
1970-01-01 00:28:04.598400,1,0,2.0
1970-01-01 00:28:04.645200,0,1,2.0
1970-01-01 00:28:04.659600,0,1,2.0
1970-01-01 00:28:04.663200,0,1,2.0
1970-01-01 00:28:04.666800,0,1,2.0
1970-01-01 00:28:04.670400,0,1,2.0
1970-01-01 00:28:04.674000,0,1,2.0
1970-01-01 00:28:04.677600,0,1,2.0
